Date, Open, High, Low, Close
12/31/2018,249.56,250.19,247.47,249.92
12/28/2018,249.58,251.4,246.45,247.75
12/27/2018,242.57,248.29,238.96,248.07
12/26/2018,235.97,246.18,233.76,246.18
12/24/2018,239.04,240.8355,234.27,234.34
12/21/2018,246.74,249.71,239.98,240.7
12/20/2018,249.86,251.62,244.65,247.17
12/19/2018,255.17,259.4,249.35,251.26
12/18/2018,257.2,257.95,253.28,255.08
12/17/2018,259.4,260.65,253.525,255.36
12/14/2018,262.96,264.03,259.85,260.47
12/13/2018,266.52,267.49,264.12,265.37
12/12/2018,267.47,269,265.37,265.46
12/11/2018,267.66,267.87,262.48,264.13
12/10/2018,263.37,265.1613,258.62,264.07
12/7/2018,269.46,271.22,262.63,263.57
12/6/2018,265.92,269.97,262.44,269.84
12/4/2018,278.37,278.85,269.9,270.25
12/3/2018,280.28,280.4,277.505,279.3
11/30/2018,273.81,276.28,273.45,275.65
11/29/2018,273.71,275.55,272.43,273.98
11/28/2018,269.6,274.58,268.3272,274.58
11/27/2018,266.34,268.4,265.66,268.4
11/26/2018,265.78,267.75,265.34,267.5
11/23/2018,263.18,264.8234,263.07,263.25
11/21/2018,265.86,267.15,265.01,265.02
11/20/2018,265.36,267,263.15,264.12
11/19/2018,273.05,273.38,268.07,269.1
11/16/2018,271.79,274.75,271.21,273.73
11/15/2018,268.78,273.54,267.0102,273.02
11/14/2018,274.16,274.61,268.45,270.2
11/13/2018,273.09,275.325,271.25,272.06
11/12/2018,277.19,277.46,271.99,272.57
11/9/2018,279.03,279.24,276.18,277.76
11/8/2018,280.11,281.22,279.22,280.5
11/7/2018,277.56,281.1,277.08,281.01
11/6/2018,273.32,275.3,273.25,275.12
11/5/2018,272.44,274.01,271.35,273.39
11/2/2018,274.75,275.23,269.59,271.89
11/1/2018,271.6,273.73,270.38,273.51
10/31/2018,270.65,273.23,270.12,270.63
10/30/2018,263.67,268.12,263.12,267.77
10/29/2018,268.8,270.25,259.85,263.86
10/26/2018,265.92,271,262.29,265.33
10/25/2018,267.38,271.81,266.23,270.08
10/24/2018,273.33,273.76,264.7,265.32
10/23/2018,270.95,274.87,268.61,273.61
10/22/2018,277,277.36,274.41,275.01
10/19/2018,277.13,279.3,275.47,276.25
10/18/2018,279.4,280.07,274.97,276.4
10/17/2018,280.44,281.15,277.56,280.45
