created_at,favorite_count,id_str,in_reply_to_user_id_str,retweet_count,source,text,,,,
Mon Dec 31 23:53:06 +0000 2018,136012,1.07989E+18,NULL,33548,Twitter for iPhone,HAPPY NEW YEAR! https://t.co/bHoPDPQ7G6,,,,
Mon Dec 31 20:02:52 +0000 2018,65069,1.07983E+18,25073877,17456,Twitter for iPhone,"....Senator Schumer\, more than a year longer than any other Administration in history. These are people who have been approved by committees and all others\, yet Schumer continues to hold them back from serving their Country! Very Unfair!",,,,
Mon Dec 31 20:02:52 +0000 2018,76721,1.07983E+18,NULL,21030,Twitter for iPhone,Heads of countries are calling wanting to know why Senator Schumer is not approving their otherwise approved Ambassadors!? Likewise in Government lawyers and others are being delayed at a record pace! 360 great and hardworking people are waiting for approval from....,,,,
Mon Dec 31 15:39:15 +0000 2018,127485,1.07976E+18,NULL,29610,Twitter for iPhone,"It’s incredible how Democrats can all use their ridiculous sound bite and say that a Wall doesn’t work. It does\, and properly built\, almost 100%! They say it’s old technology - but so is the wheel. They now say it is immoral- but it is far more immoral for people to be dying!",,,,
Mon Dec 31 15:37:14 +0000 2018,132439,1.07976E+18,NULL,30957,Twitter for iPhone,"I’m in the Oval Office. Democrats\, come back from vacation now and give us the votes necessary for Border Security\, including the Wall. You voted yes in 2006 and 2013. One more yes\, but with me in office\, I’ll get it built\, and Fast!",,,,
Mon Dec 31 15:33:15 +0000 2018,4217,1.07976E+18,NULL,1123,Twitter for iPhone,"I’m in the Oval Office. Democrats\, come back from vacation now and give us the votes necessary for Border Security\, including the Wall. You voted yes in 2006 and 3013. One more yes\, but with me in office\, I’ll get it built\, and Fast!",,,,
Mon Dec 31 14:38:52 +0000 2018,112735,1.07975E+18,NULL,25463,Twitter for iPhone,"I am the only person in America who could say that\, “I’m bringing our great troops back home\, with victory\,” and get BAD press. It is Fake News and Pundits who have FAILED for years that are doing the complaining. If I stayed in Endless Wars forever\, they would still be unhappy!",,,,
Mon Dec 31 13:29:32 +0000 2018,91523,1.07973E+18,NULL,22079,Twitter for iPhone,"I campaigned on Border Security\, which you cannot have without a strong and powerful Wall. Our Southern Border has long been an “Open Wound\,” where drugs\, criminals (including human traffickers) and illegals would pour into our Country. Dems should get back here an fix now!",,,,
Mon Dec 31 13:19:13 +0000 2018,72758,1.07973E+18,NULL,15152,Twitter for iPhone,".....Except the results are FAR BETTER than I ever said they were going to be! I campaigned against the NEVER ENDING WARS\, remember!",,,,
Mon Dec 31 13:12:40 +0000 2018,101470,1.07973E+18,NULL,22119,Twitter for iPhone,"...I campaigned on getting out of Syria and other places. Now when I start getting out the Fake News Media\, or some failed Generals who were unable to do the job before I arrived\, like to complain about me &amp; my tactics\, which are working. Just doing what I said I was going to do!",,,,
Mon Dec 31 13:03:05 +0000 2018,79534,1.07972E+18,NULL,17467,Twitter for iPhone,"If anybody but Donald Trump did what I did in Syria\, which was an ISIS loaded mess when I became President\, they would be a national hero. ISIS is mostly gone\, we’re slowly sending our troops back home to be with their families\, while at the same time fighting ISIS remnants......",,,,
Mon Dec 31 12:51:22 +0000 2018,97178,1.07972E+18,NULL,20873,Twitter for iPhone,"An all concrete Wall was NEVER ABANDONED\, as has been reported by the media. Some areas will be all concrete but the experts at Border Patrol prefer a Wall that is see through (thereby making it possible to see what is happening on both sides). Makes sense to me!",,,,
Sun Dec 30 21:59:44 +0000 2018,233722,1.0795E+18,NULL,61837,Twitter for iPhone,"President and Mrs. Obama built/has a ten foot Wall around their D.C. mansion/compound. I agree\, totally necessary for their safety and security. The U.S. needs the same thing\, slightly larger version!",,,,
Sun Dec 30 16:56:09 +0000 2018,131013,1.07942E+18,NULL,32084,Twitter for iPhone,Great work by my Administration over the holidays to save Coast Guard pay during this #SchumerShutdown. No thanks to the Democrats who left town and are not concerned about the safety and security of Americans!,,,,
Sun Dec 30 15:28:35 +0000 2018,123780,1.0794E+18,NULL,25782,Twitter for iPhone,Veterans on President Trump’s handling of Border Security - 62% Approval Rating. On being a strong leader - 59%.  AP Poll. Thank you!,,,,
Sun Dec 30 03:15:36 +0000 2018,150249,1.07921E+18,NULL,44918,Twitter for iPhone,"“It turns out to be true now\, that the Department of Justice and the FBI\, under President Obama\, rigged the investigation for Hillary and really turned the screws on Trump\, and now it looks like in a corrupt &amp; illegal way. The facts are out now. Whole Hoax exposed. @JesseBWatters",,,,
Sun Dec 30 03:01:28 +0000 2018,118323,1.07921E+18,NULL,30800,Twitter for iPhone,"“Absolutely nothing” (on Russian Collusion). Kimberley Strassel\, The Wall Street Journal. The Russian Collusion fabrication is the greatest Hoax in the history of American politics. The only Russian Collusion was with Hillary and the Democrats!",,,,
Sat Dec 29 21:06:08 +0000 2018,109368,1.07912E+18,NULL,25809,Twitter for iPhone,"2018 is being called “THE YEAR OF THE WORKER” by Steve Moore\, co-author of “Trumponomics.” It was indeed a great year for the American Worker with the “best job market in 50 years\, and the lowest unemployment rate ever for blacks and Hispanics and all workers. Big wage gains.”",,,,
Sat Dec 29 19:25:47 +0000 2018,144416,1.0791E+18,NULL,34547,Twitter for iPhone,"For those that naively ask why didn’t the Republicans get approval to build the Wall over the last year\, it is because IN THE SENATE WE NEED 10 DEMOCRAT VOTES\, and they will gives us “NONE” for Border Security! Now we have to do it the hard way\, with a Shutdown. Too bad! @FoxNews",,,,
Sat Dec 29 18:36:17 +0000 2018,129861,1.07908E+18,NULL,30224,Twitter for iPhone,"...children in question were very sick before they were given over to Border Patrol. The father of the young girl said it was not their fault\, he hadn’t given her water in days. Border Patrol needs the Wall and it will all end. They are working so hard &amp; getting so little credit!",,,,
Sat Dec 29 18:30:16 +0000 2018,120754,1.07908E+18,NULL,29381,Twitter for iPhone,"Any deaths of children or others at the Border are strictly the fault of the Democrats and their pathetic immigration policies that allow people to make the long trek thinking they can enter our country illegally. They can’t. If we had a Wall\, they wouldn’t even try! The two.....",,,,
Sat Dec 29 16:03:02 +0000 2018,142185,1.07905E+18,NULL,27736,Twitter for iPhone,"Just had a long and very good call with President Xi of China. Deal is moving along very well. If made\, it will be very comprehensive\, covering all subjects\, areas and points of dispute. Big progress being made!",,,,
Sat Dec 29 15:52:24 +0000 2018,127645,1.07904E+18,NULL,30025,Twitter for iPhone,"I am in the White House waiting for the Democrats to come on over and make a deal on Border Security. From what I hear\, they are spending so much time on Presidential Harassment that they have little time left for things like stopping crime and our military!",,,,
Sat Dec 29 15:42:50 +0000 2018,112124,1.07904E+18,NULL,32062,Twitter for iPhone,"The Mueller Angry Democrats recently deleted approximately 19\,000 Text messages between FBI Agent Lisa Page and her lover\, Agent Peter S. These Texts were asked for and INVALUABLE to the truth of the Witch Hunt Hoax. This is a total Obstruction of Justice. All Texts Demanded!",,,,
Fri Dec 28 14:51:07 +0000 2018,113934,1.07866E+18,NULL,21412,Twitter for iPhone,Thank you to Sean Parnell for the nice comments on @foxandfriends about the troops wonderful reaction to Melania and I in Iraq and Germany. Great things are happening!,,,,
Fri Dec 28 13:06:13 +0000 2018,167219,1.07864E+18,NULL,39555,Twitter for iPhone,".....Honduras\, Guatemala and El Salvador are doing nothing for the United States but taking our money. Word is that a new Caravan is forming in Honduras and they are doing nothing about it. We will be cutting off all aid to these 3 countries - taking advantage of U.S. for years!",,,,
Fri Dec 28 12:49:26 +0000 2018,108226,1.07863E+18,NULL,25317,Twitter for iPhone,".....close the Southern Border. Bring our car industry back into the United States where it belongs. Go back to pre-NAFTA\, before so many of our companies and jobs were so foolishly sent to Mexico. Either we build (finish) the Wall or we close the Border......",,,,
Fri Dec 28 12:42:12 +0000 2018,101171,1.07863E+18,NULL,23743,Twitter for iPhone,"....The United States looses soooo much money on Trade with Mexico under NAFTA\, over 75 Billion Dollars a year (not including Drug Money which would be many times that amount)\, that I would consider closing the Southern Border a “profit making operation.” We build a Wall or.....",,,,
Fri Dec 28 12:16:40 +0000 2018,156509,1.07863E+18,NULL,36288,Twitter for iPhone,We will be forced to close the Southern Border entirely if the Obstructionist Democrats do not give us the money to finish the Wall &amp; also change the ridiculous immigration laws that our Country is saddled with. Hard to believe there was a Congress &amp; President who would approve!,,,,
Thu Dec 27 23:23:36 +0000 2018,181505,1.07843E+18,NULL,43776,Twitter for iPhone,"CNN &amp; others within the Fake News Universe were going wild about my signing MAGA hats for our military in Iraq and Germany. If these brave young people ask me to sign their hat\, I will sign. Can you imagine my saying NO? We brought or gave NO hats as the Fake News first reported!",,,,
Thu Dec 27 22:10:07 +0000 2018,127963,1.07841E+18,NULL,31411,Twitter for iPhone,"This isn’t about the Wall\, everybody knows that a Wall will work perfectly (In Israel the Wall works 99.9%). This is only about the Dems not letting Donald Trump &amp; the Republicans have a win. They may have the 10 Senate votes\, but we have the issue\, Border Security. 2020!",,,,
Thu Dec 27 21:26:10 +0000 2018,85219,1.0784E+18,NULL,19652,Twitter for iPhone,"Brad Blakeman: “The American people understand that we have been played by foreign actors who would rather have us fight their battles for them. The President says look\, this is your neighborhood\, you’ve got to stand up to protect yourselves. Don’t always look to America.”",,,,
Thu Dec 27 21:13:15 +0000 2018,9448,1.0784E+18,NULL,2510,Twitter for iPhone,"Brad Blakeman: “The American people understand that we have been played by foreign actors who would rather have us fight their battles for them. The Pesident says look\, this is your neighborhood\, you’ve got to stand up to protect yourselves. Don’t always look to America.”",,,,
Thu Dec 27 21:04:24 +0000 2018,180032,1.0784E+18,NULL,45971,Twitter for iPhone,I totally agree! https://t.co/KO8E3bfWfn,,,,
Thu Dec 27 21:04:06 +0000 2018,146339,1.0784E+18,NULL,36526,Twitter for iPhone,There is right now a full scale manhunt going on in California for an illegal immigrant accused of shooting and killing a police officer during a traffic stop. Time to get tough on Border Security. Build the Wall!,,,,
Thu Dec 27 20:39:59 +0000 2018,105345,1.07839E+18,NULL,24285,Twitter for iPhone,"“Border Patrol Agents want the Wall.” Democrat’s say they don’t want the Wall (even though they know it is really needed)\, and they don’t want ICE. They don’t have much to campaign on\, do they? An Open Southern Border and the large scale crime that comes with such stupidity!",,,,
Thu Dec 27 19:44:49 +0000 2018,82021,1.07838E+18,NULL,21143,Twitter for iPhone,"The reason the DACA for Wall deal didn’t get done was that a ridiculous court decision from the 9th Circuit allowed DACA to remain\, thereby setting up a Supreme Court case. After ruling\, Dems dropped deal - and that’s where we are today\, Democrat obstruction of the needed Wall.",,,,
Thu Dec 27 19:41:45 +0000 2018,84827,1.07838E+18,NULL,20173,Twitter for iPhone,"The Democrats OBSTRUCTION of the desperately needed Wall\, where they almost all recently agreed it should be built\, is exceeded only by their OBSTRUCTION of 350 great people wanting &amp; expecting to come into Government after being delayed for more than two years\, a U.S. record!",,,,
Thu Dec 27 19:35:46 +0000 2018,8218,1.07837E+18,NULL,2339,Twitter for iPhone,"The reason the DACA for Wall deal didn’t get done was that a ridiculous court decision from the 9th Circuit allowed DACA to remain\, thereby setting up a Supteme Court case. After ruling\, Dems dropped deal - and that’s where we are today\, Democrat obstruction of the needed Wall.",,,,
Thu Dec 27 12:06:25 +0000 2018,131898,1.07826E+18,NULL,30543,Twitter for iPhone,"Have the Democrats finally realized that we desperately need Border Security and a Wall on the Southern Border. Need to stop Drugs\, Human Trafficking\,Gang Members &amp; Criminals from coming into our Country. Do the Dems realize that most of the people not getting paid are Democrats?",,,,
